measure,n,days,win_rate,pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top1,top3_share,top5_share,ex_top5_pnl,entry_policy,entry_rule,variant,week
gross,536,7,0.6287,-15.14,-0.028246,0.5456,-1.0,0.5456,33.7519,0.2195,0.9608,-0.1904,-0.3173,-19.9439,FUNNEL,FUNNEL_OBSERVED,NO_FAVORITE,2026-W32
gross,178,6,0.6404,-3.6612,-0.020569,0.5293,-1.0,0.5293,16.1434,0.1364,0.9608,-0.7873,-1.3121,-8.4651,FUNNEL,FUNNEL_OBSERVED,NO_FAVORITE,2026-W33
gross,570,7,0.5333,-77.5231,-0.136005,0.62,-1.0,0.62,86.9879,0.0638,0.9608,-0.0372,-0.062,-82.327,FUNNEL,FUNNEL_OBSERVED,NO_FAVORITE,2026-W34
gross,310,7,0.6065,-12.5485,-0.040479,0.5822,-1.0,0.5822,18.2978,0.1494,0.9608,-0.2297,-0.3828,-17.3524,FUNNEL,FUNNEL_OBSERVED,NO_FAVORITE,2026-W35
gross,194,3,0.5619,-19.3996,-0.099998,0.6018,-1.0,0.6018,33.4531,0.0582,0.9608,-0.1486,-0.2476,-24.2035,FUNNEL,FUNNEL_OBSERVED,NO_FAVORITE,2026-W36
gross,893,7,0.4524,14.8504,0.01663,1.2472,-1.0,1.2472,38.4825,-1.0,10.1111,1.2967,1.7271,-10.7978,FUNNEL,FUNNEL_OBSERVED,NO_OUTSIDER,2026-W32
gross,1037,6,0.432,-36.4526,-0.035152,1.2334,-1.0,1.2334,61.0039,-1.0,2.4483,-0.1922,-0.3088,-47.71,FUNNEL,FUNNEL_OBSERVED,NO_OUTSIDER,2026-W33
gross,1228,7,0.4235,-101.3103,-0.0825,1.1667,-1.0,1.1667,152.0524,-1.0,3.0,-0.075,-0.1142,-112.8835,FUNNEL,FUNNEL_OBSERVED,NO_OUTSIDER,2026-W34
gross,1372,7,0.4431,-40.4775,-0.029503,1.19,-1.0,1.19,100.3362,-1.0,4.5556,-0.237,-0.3396,-54.2254,FUNNEL,FUNNEL_OBSERVED,NO_OUTSIDER,2026-W35
gross,550,3,0.4636,20.7407,0.03771,1.2382,-1.0,1.2382,29.0518,-1.0,2.8462,0.3376,0.5333,9.6787,FUNNEL,FUNNEL_OBSERVED,NO_OUTSIDER,2026-W36
